,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.6872641509433962,0.6256492451205045,0.0,0.0,1.0,0.5,0.5,0.0,1.0
1,0.6924528301886792,0.6319826786266625,0.0,0.0,1.0,0.5,0.5,0.0,1.0
2,0.7080188679245284,0.6452207191171235,0.0,0.0,1.0,0.5,0.5,0.0,1.0
3,0.6811320754716981,0.6211799096465586,0.0,0.0,1.0,0.5,0.5,0.0,1.0
4,0.6919811320754716,0.6304726140318739,0.0,0.0,1.0,0.5,0.5,0.0,1.0
5,0.6726415094339622,0.6136980478074621,0.0,0.0,1.0,0.5,0.5,0.0,1.0
6,0.6721698113207547,0.6143158046415433,0.0,0.0,1.0,0.5,0.5,0.0,1.0
7,0.6792452830188679,0.6203042665306817,0.0,0.0,1.0,0.5,0.5,0.0,1.0
8,0.6962264150943396,0.6341053542311403,0.0,0.0,1.0,0.5,0.5,0.0,1.0
9,0.6992445703493863,0.637565068878412,0.0,0.0,1.0,0.5,0.5,0.0,1.0
mean,0.6880376645821084,0.6274493708631962,0.0,0.0,1.0,0.5,0.5,0.0,1.0
std,0.011141657418797043,0.009733086449157147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
