,labels,predictions,predicted_label
0,1,0.5217391304347826,False
1,1,0.2608695652173913,False
2,1,0.391304347826087,False
3,1,0.30434782608695654,False
4,1,0.6521739130434783,True
5,1,0.5652173913043478,True
6,1,0.2608695652173913,False
7,1,0.17391304347826086,False
8,1,0.8695652173913043,True
9,1,0.43478260869565216,False
10,1,0.5652173913043478,True
11,1,0.6086956521739131,True
12,1,0.5217391304347826,False
13,1,0.8260869565217391,True
14,1,0.43478260869565216,False
15,1,0.21739130434782608,False
16,1,0.391304347826087,False
17,1,0.34782608695652173,False
18,1,0.782608695652174,True
19,1,0.8260869565217391,True
20,1,0.6521739130434783,True
21,1,0.8695652173913043,True
22,1,0.7391304347826086,True
23,1,0.7391304347826086,True
24,1,0.8260869565217391,True
25,1,0.782608695652174,True
26,1,0.6956521739130435,True
27,1,0.8260869565217391,True
28,1,0.6086956521739131,True
29,1,0.6521739130434783,True
30,1,0.9130434782608695,True
31,1,0.9130434782608695,True
32,1,0.6956521739130435,True
33,1,0.782608695652174,True
34,1,0.7391304347826086,True
35,1,0.7391304347826086,True
36,1,0.782608695652174,True
37,1,0.6521739130434783,True
38,1,0.6956521739130435,True
39,1,0.782608695652174,True
40,1,0.6086956521739131,True
41,1,0.8260869565217391,True
42,1,0.782608695652174,True
43,1,0.6956521739130435,True
44,1,0.7391304347826086,True
45,1,0.782608695652174,True
46,1,0.6956521739130435,True
47,1,0.9130434782608695,True
48,1,0.8260869565217391,True
49,1,0.6521739130434783,True
50,1,0.782608695652174,True
51,1,0.9130434782608695,True
52,1,0.7391304347826086,True
53,1,0.6956521739130435,True
54,1,0.7391304347826086,True
55,1,0.8695652173913043,True
56,1,0.34782608695652173,False
57,1,0.7391304347826086,True
58,1,0.7391304347826086,True
59,1,0.782608695652174,True
60,1,0.9130434782608695,True
61,1,0.6521739130434783,True
62,1,0.043478260869565216,False
63,1,0.782608695652174,True
64,1,0.782608695652174,True
65,1,0.782608695652174,True
66,1,0.6956521739130435,True
67,1,0.17391304347826086,False
68,1,0.6521739130434783,True
69,1,0.8260869565217391,True
70,1,0.6086956521739131,True
71,1,0.8260869565217391,True
72,1,0.782608695652174,True
